yb	VVc	bD50	Fr	ysb	Source
0.539906103	0.767123288	249.7015385	0.291079811	0.863849765	USGS
0.658634538	0.977272727	130.8537931	0.374325579	1.265060241	USGS
0.658634538	1	291.9046154	0.330799349	1.224899598	USGS
0.542168675	0.870588235	130.8537931	0.355007733	1.052208835	USGS
0.542168675	0.905405405	291.9046154	0.32142592	0.923694779	USGS
0.46184739	0.743902439	130.8537931	0.31706908	0.947791165	USGS
0.46184739	0.767123288	291.9046154	0.291079811	0.791164659	USGS
20.94680851	1	34.10857143	0.180889189	2.531914894	USGS
20.94680851	0.838983051	15.07957895	0.248722635	2.127659574	USGS
20.94680851	0.844660194	119.38	0.109287218	1.425531915	USGS
20.94680851	0.951388889	34.10857143	0.172095965	2.436170213	USGS
20.94680851	0.950684932	5.355364486	0.435892699	1.393617021	USGS
20.94680851	0.899521531	3.673230769	0.472321771	0.819148936	USGS
20.94680851	0.947368421	3.673230769	0.49744527	1.021276596	USGS
20.94680851	0.871559633	75.39789474	0.119336618	1.574468085	USGS
20.94680851	0.796610169	15.07957895	0.236160886	2.031914894	USGS
20.94680851	0.901369863	5.355364486	0.41328155	1.159574468	USGS
17.44680851	0.898591549	5.355364486	0.43907806	0.670212766	USGS
6.978723404	0.864583333	75.39789474	0.180633855	1.553191489	USGS
6.978723404	0.7960199	15.07957895	0.348209841	2	USGS
6.978723404	0.900990099	5.355364486	0.594133041	1.063829787	USGS
3.489361702	0.852272727	75.39789474	0.230832693	1.585106383	USGS
3.489361702	0.794444444	15.07957895	0.440121002	1.691489362	USGS
3.489361702	0.901140684	5.355364486	0.729431311	0.946808511	USGS
1.744680851	0.791139241	15.07957895	0.544077876	1.425531915	USGS
13.30405405	0.893203883	187.96	0.115568093	1.716216216	USGS
13.30405405	0.917431193	118.7115789	0.125617492	1.743243243	USGS
13.30405405	1	53.70285714	0.180889189	2.324324324	USGS
13.30405405	0.838983051	23.74231579	0.248722635	2.195945946	USGS
13.30405405	0.96875	11.87115789	0.389414226	1.905405405	USGS
13.30405405	0.844660194	187.96	0.109287218	1.378378378	USGS
13.30405405	0.871559633	118.7115789	0.119336618	1.702702703	USGS
13.30405405	0.944444444	53.70285714	0.17083979	2.175675676	USGS
13.30405405	0.796610169	23.74231579	0.236160886	2.067567568	USGS
13.30405405	0.915625	11.87115789	0.368059253	1.614864865	USGS
11.79041916	0.844660194	212.09	0.109287218	1.365269461	USGS
11.79041916	0.871559633	133.9515789	0.119336618	1.467065868	USGS
11.79041916	0.957446809	63.627	0.169583615	2.22754491	USGS
11.79041916	0.951388889	60.59714286	0.172095965	2.233532934	USGS
11.79041916	0.796610169	26.79031579	0.236160886	2.263473054	USGS
11.79041916	0.901369863	9.514317757	0.41328155	1.616766467	USGS
11.79041916	0.899521531	6.525846154	0.472321771	1.005988024	USGS
11.79041916	0.917431193	133.9515789	0.125617492	1.724550898	USGS
11.79041916	1.007092199	63.627	0.178376839	2.425149701	USGS
11.79041916	0.733944954	133.9515789	0.100493994	1.437125749	USGS
11.79041916	0.80141844	63.627	0.141947766	1.604790419	USGS
11.79041916	0.665254237	26.79031579	0.197219463	1.676646707	USGS
11.79041916	0.750684932	9.514317757	0.344191929	0.826347305	USGS
11.79041916	0.495412844	133.9515789	0.067833446	0.299401198	USGS
11.79041916	0.546099291	63.627	0.096725469	0.311377246	USGS
11.79041916	0.444915254	26.79031579	0.131898367	0.311377246	USGS
11.79041916	0.501369863	9.514317757	0.229880011	0.317365269	USGS
11.79041916	0.838983051	26.79031579	0.248722635	2.28742515	USGS
11.79041916	0.950684932	9.514317757	0.435892699	1.718562874	USGS
11.79041916	0.947368421	6.525846154	0.49744527	1.45508982	USGS
5.912912913	0.893203883	422.91	0.115568093	1.582582583	USGS
5.912912913	1	120.8314286	0.180889189	2.213213213	USGS
5.912912913	0.838983051	53.42021053	0.248722635	2.252252252	USGS
5.912912913	0.950684932	18.97166355	0.435892699	2.042042042	USGS
5.912912913	0.947368421	13.01261538	0.49744527	1.852852853	USGS
5.912912913	0.844660194	422.91	0.109287218	1.720720721	USGS
5.912912913	0.957446809	126.873	0.169583615	2.231231231	USGS
5.912912913	0.951388889	120.8314286	0.172095965	2.231231231	USGS
5.912912913	0.915625	26.71010526	0.368059253	2.051051051	USGS
5.912912913	0.899521531	13.01261538	0.472321771	1.630630631	USGS
5.912912913	0.871559633	267.1010526	0.119336618	1.432432432	USGS
